COUNTY_ID,COUNTY,TOWN_ID,TOWN,COUNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,遊客人數,資料時間
10002,宜蘭縣,10002010,宜蘭市,86844,"107Y09M"
10002,宜蘭縣,10002020,羅東鎮,0,"107Y09M"
10002,宜蘭縣,10002030,蘇澳鎮,43409,"107Y09M"
10002,宜蘭縣,10002040,頭城鎮,101141,"107Y09M"
10002,宜蘭縣,10002050,礁溪鄉,186154,"107Y09M"
10002,宜蘭縣,10002060,壯圍鄉,0,"107Y09M"
10002,宜蘭縣,10002070,員山鄉,0,"107Y09M"
10002,宜蘭縣,10002080,冬山鄉,81253,"107Y09M"
10002,宜蘭縣,10002090,五結鄉,319839,"107Y09M"
10002,宜蘭縣,10002100,三星鄉,0,"107Y09M"
10002,宜蘭縣,10002110,大同鄉,62732,"107Y09M"
10002,宜蘭縣,10002120,南澳鄉,0,"107Y09M"
